rfr_baseline_losses_train,rfr_baseline_losses_test,rfr_baseline_sci_losses_train,rfr_baseline_sci_losses_test,xgb_baseline_losses_train,xgb_baseline_losses_test,xgb_baseline_sci_losses_train,xgb_baseline_sci_losses_test,rfr_baseline_lex_google_losses_train,rfr_baseline_lex_google_losses_test,rfr_baseline_lex_google_sci_losses_train,rfr_baseline_lex_google_sci_losses_test,xgb_baseline_lex_google_losses_train,xgb_baseline_lex_google_losses_test,xgb_baseline_lex_google_sci_losses_train,xgb_baseline_lex_google_sci_losses_test
0.6696522490436324,1.1244106240863974,0.651928414810743,1.3308987086698978,0.29863623122782534,1.70191188945361,0.26417785641555364,1.6200415945771114,0.5487881170178666,1.2205277593350552,0.5433426548921512,1.326225115947005,0.12424308471728142,1.1585184664312227,0.10617682144238931,1.2825640712758857
0.7552444479454772,0.775608567823973,0.7548379925988424,0.7754061695399177,0.4408282752456924,0.9832065044063654,0.4045151539454108,0.9619058974707283,0.662271901684448,0.8659077553847704,0.6621107944511678,0.8494531915039745,0.24952174752755524,1.1211276049466599,0.23758851313657572,1.2079491421037412
0.7627384786123443,0.7411193699043827,0.762507813817148,0.7410299521585562,0.5070574709023246,0.8305619599115787,0.4777842072750014,0.7756073141491844,0.6663810553879492,0.8296930643860856,0.6659672464855595,0.8059363949800421,0.3288326580152501,1.0251422882197463,0.31068174306028035,1.1564741211591274
0.757707419867814,0.7236805476412586,0.7576963576858418,0.7235855922578854,0.5407136159159444,0.7374868218242832,0.5135515653059226,0.7154781018550164,0.6575794856331362,0.7640840274417193,0.6571573421211656,0.7560906135695834,0.37080204366133424,0.958088946161996,0.3632189601485941,1.172174539408794
0.7531816154444864,0.8091666077563433,0.7529312654690673,0.8079323720814272,0.5625970656264946,0.8179987861985812,0.5365657146917626,0.799841878437026,0.6536587776234734,0.8314586348848997,0.6533897619442283,0.823574478995565,0.3985494964431131,0.9290683719226178,0.385329486320168,0.9323734830893629
0.7642380962460641,0.869110236903034,0.7629911168383365,0.854252558211414,0.5928825768874856,0.8812552596954915,0.5663135009577173,0.8693268746527143,0.6635037734160043,0.8438103581592656,0.6633937657959182,0.8455048531720404,0.427719757222594,0.8770504346132426,0.41794827829597,0.8595282286078642
0.7807435756270893,0.8811343658319587,0.7747636931901684,0.8614643570036408,0.6169868109583166,0.8936414833563718,0.5910173454245476,0.9223502284222763,0.6691742223798081,0.8212212692861267,0.6683736782888529,0.8201343131117147,0.43888534807673696,0.9037940251110806,0.43029173934632026,0.8221743345156747
0.7888328574469563,0.6947124375303677,0.7786166345433944,0.6759341767773109,0.6229436837430552,0.8101841755567825,0.599696369266945,0.829277167208404,0.6643335007331512,0.7092988182965667,0.6635302845319797,0.6982559905055876,0.44298517688827466,0.8376489588248639,0.435387120621489,0.8515471849864528
0.7792198227156718,0.7112448981773245,0.770295384689372,0.7229621795172932,0.6274185212962762,0.8278855344427769,0.6043930713957926,0.8068927592085112,0.650919492954838,0.7192118450196908,0.6500743505890926,0.7357721582163685,0.44528422602188206,1.0252539184002296,0.43989808172974193,1.0397247757420622
0.7740381908785632,0.7605902122617755,0.7659405330042259,0.758031576965407,0.6273350926050988,0.7673804561199377,0.6067086106009535,0.7602105052676643,0.6372342192016999,0.7694442656747306,0.637020611546015,0.7700783249666747,0.4432881564676789,0.870846399387392,0.4392167063958926,0.8674686134772145
0.7731597961374538,0.7294622343700559,0.7659695095803604,0.7238708902395931,0.633009940818437,0.7187278056390356,0.612339225289706,0.7085644400801527,0.6269430293640391,0.7336624633750534,0.626888456448653,0.7335612873959282,0.4450277850992256,1.0065648267728813,0.43891449002275174,0.8325212410207841
0.7705342310910898,0.7719149869336372,0.7631627220880131,0.7506447373654761,0.6373051778771072,0.7608662153731678,0.616238773596352,0.7287121069439719,0.6195461336078983,0.7600202486521038,0.6195268174979979,0.7598429292433001,0.44726987070443713,1.0160094206796522,0.44267493229511,0.9939528638154824
0.7688572714670324,0.722764838636041,0.7603812583721783,0.7068132841472426,0.6407513087776849,0.6975243644769545,0.6206220834046239,0.6946780326178866,0.613456589275457,0.7177027645303684,0.6134383428689146,0.7169254399132347,0.45188123662533247,1.0078091491946646,0.4449399416020035,0.7963023320307567
0.7655144672043023,0.7420572527423424,0.7568690971256988,0.728658351390864,0.6386022243808211,0.6777882622861665,0.6216356870476805,0.6872728449844365,0.608018653376017,0.7324875984887721,0.6080138110899083,0.7322662512666783,0.45058691005138635,0.9713560636417277,0.44469067453041755,1.0313638088690442
